"County","FIPS","Year","Race/Ethnicity","Age","Poverty Status","Measure Type","Variable","Value"
"Connecticut","09","2013-2017","All","Total","Below Poverty Level","Number","Poverty Status",350783
"Connecticut","09","2013-2017","All","Total","Below Poverty Level","Number","Margins of Error",6362
"Connecticut","09","2013-2017","All","Total","Below Poverty Level","Percent","Poverty Status",10.06
"Connecticut","09","2013-2017","All","Total","Below Poverty Level","Percent","Margins of Error",0.18
"Connecticut","09","2013-2017","All","Total","Poverty Status Determined","Number","Poverty Status",3486033
"Connecticut","09","2013-2017","All","Total","Poverty Status Determined","Number","Margins of Error",827
"Connecticut","09","2013-2017","All","Under 18","Below Poverty Level","Number","Poverty Status",101679
"Connecticut","09","2013-2017","All","Under 18","Below Poverty Level","Number","Margins of Error",2389.89
"Connecticut","09","2013-2017","All","Under 18","Below Poverty Level","Percent","Poverty Status",13.51
"Connecticut","09","2013-2017","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.31
"Connecticut","09","2013-2017","All","Under 18","Poverty Status Determined","Number","Poverty Status",752655
"Connecticut","09","2013-2017","All","Under 18","Poverty Status Determined","Number","Margins of Error",4631.87
"Connecticut","09","2013-2017","All","Under 18","Poverty Status Determined","Percent","Poverty Status",21.59
"Connecticut","09","2013-2017","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",1514
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",439
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",17.14
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",4.68
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",8833
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",862
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",372
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",157.21
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",16.98
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",6.51
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",2191
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",389.91
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",24.8
